Regione,Spesa pro capite,Mortalità evitabile
Piemonte,2232.2229982322033,17.999222930390044
Valle d'Aosta/Vallée d'Aoste,2525.586308371979,17.25831425101503
Liguria,2416.041762941859,17.084942210012773
Lombardia,2200.856087914312,16.04172291569853
Trentino-Alto Adige/Südtirol,2594.6093382719732,14.657967926987945
Bolzano/Bozen,2914.2195291503476,15.205440669270669
Trento,2280.052964649605,14.227938848185348
Veneto,2147.8464932978304,15.234907597570004
Friuli-Venezia Giulia,2340.381883432491,17.265522998074292
Emilia-Romagna,2250.2152311377085,15.688553383580292
Toscana,2243.7177429973713,15.290792241812474
Umbria,2277.8348234734717,15.984046995412733
Marche,2163.012522158141,15.29541681628656
Lazio,2213.2102874958787,18.50227546839294
Abruzzo,2122.7587958655517,17.593786418748863
Molise,2555.90993894214,19.410304672659123
Campania,2097.9181777985386,22.42467240098452
Puglia,2187.677137447325,17.362675563087404
Basilicata,2179.112562442192,19.002146981032297
Calabria,2025.6562830393746,20.085591799349658
Sicilia,2207.450403303026,20.556977414726397
Sardegna,2396.6736103041353,19.586015989253724
Nord-ovest,2232.282689454583,16.705377066802804
Nord-est,2248.6435588615986,15.576708152200347
Centro,2221.104208224335,16.8789005526581
Centro-Nord,2233.76389056325,16.42718331654071
Mezzogiorno,2169.6987027745326,20.011226735804836
Italia,2212.165928562613,17.633266944734444
